,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2017-10-29,262.15193508315775,0.0,0.0,0.2565843177541818,,0.01869418511641709,0.27527850287059885
2017-10-30,262.38514024266294,0.00095367431640625,0.0,0.24632094503792026,,0.06639209318758564,0.3127130382255059
2017-10-31,264.5092755779494,0.8096694946289062,0.0,0.23646810721338898,,3.5862135445533854,3.8226816517667745
2017-11-01,263.1347435141473,0.02288818359375,0.0,0.22700938291120448,,0.7433610483859092,0.9703704312971138
2017-11-02,264.33557969578794,0.000476837158203125,0.0,0.21792900759433756,,3.2346902626702168,3.452619270264554
2017-11-03,264.11703314630876,0.0,0.0,0.20921184729567222,,2.6830272450998494,2.8922390923955215
2017-11-04,263.85982082534525,0.5383491516113281,0.0,0.20084337340757563,,2.0124911004975514,2.2133344739051273
2017-11-05,262.3332807049025,2.129077911376953,0.0,0.19280963847185462,,0.04175793101480841,0.23456756948666302
2017-11-06,260.1182640219598,0.03910064697265625,0.0,0.18509725293191065,,0.0,0.18509725293191065
2017-11-07,261.21717149266294,1.0480880737304688,0.0,0.1776933628136574,,0.0,0.1776933628136574
2017-11-08,258.64861883966813,1.3022422790527344,0.0,0.17058562830085275,,0.0,0.17058562830085275
2017-11-09,257.0539304241408,0.000476837158203125,0.0,0.16376220316902482,,0.0,0.16376220316902482
2017-11-10,256.453670643257,0.03337860107421875,0.0,0.15721171504250991,,0.0,0.15721171504250991
2017-11-11,255.0933782085646,0.019073486328125,0.0,0.1509232464408997,,0.0,0.1509232464408997
2017-11-12,255.3465412283807,0.041484832763671875,0.0,0.14488631658322926,,0.0,0.14488631658322926
2017-11-13,257.3151405478387,0.0,0.0,0.13909086391984035,,0.0,0.13909086391984035
2017-11-14,258.7670779054234,0.0,0.0,0.13352722936301872,,0.0,0.13352722936301872
2017-11-15,257.7414482260614,0.171661376953125,0.0,0.12818614018850205,,0.0,0.12818614018850205
2017-11-16,258.00394517430357,6.938457489013672,0.0,0.1230586945809759,,0.0,0.1230586945809759
2017-11-17,252.23301774510432,1.2540817260742188,0.0,0.11813634679774498,,0.0,0.11813634679774498
2017-11-18,250.8490271394321,0.17547607421875,0.0,0.11341089292583534,,0.0,0.11341089292583534
2017-11-19,251.98018151768733,0.00286102294921875,0.0,0.10887445720879882,,0.0,0.10887445720879882
2017-11-20,247.67440937209813,0.014781951904296875,0.0,0.10451947892044464,,0.0,0.10451947892044464
2017-11-21,246.86928000299818,0.01621246337890625,0.0,0.10033869976362653,,0.0,0.10033869976362653
2017-11-22,250.57875901707698,0.0,0.0,0.09632515177308211,,0.0,0.09632515177308211
