,T2,RRR,PE,Q_HBV,HBV_snowpack,HBV_soil_moisture,HBV_AET,HBV_upper_gw,HBV_lower_gw,Qobs,Q_DDM,Q_Total
2015-12-29,258.48132976717733,0.0,0.0,0.019286693134677384,111.4344596862793,192.87110711991903,0.0,0.0,0.43129312414563725,0.0,0.0,0.019286693134677384
2015-12-30,258.40514063747383,0.0,0.0,0.01851522540929029,111.4344596862793,192.87110711991903,0.0,0.0,0.41404139917981175,0.0,0.0,0.01851522540929029
2015-12-31,257.91588378414593,0.0019073486328125,0.0,0.017774616392918677,111.43579483032227,192.87110711991903,0.0,0.0,0.3974797432126193,0.0,0.0,0.017774616392918677
2016-01-01,259.88060299766465,0.00762939453125,0.0,0.01706363173720193,111.44113540649414,192.87110711991903,0.0,0.0,0.3815805534841145,0.0,0.0,0.01706363173720193
2016-01-02,257.350030546506,0.003814697265625,0.0,0.016381086467713853,111.44380569458008,192.87110711991903,0.0,0.0,0.3663173313447499,0.0,0.0,0.016381086467713853
2016-01-03,257.13117402032015,0.0019073486328125,0.0,0.015725843009005296,111.44514083862305,192.87110711991903,0.0,0.0,0.35166463809095994,0.0,0.0,0.015725843009005296
2016-01-04,257.08522489672936,0.0,0.0,0.015096809288645084,111.44514083862305,192.87110711991903,0.0,0.0,0.33759805256732156,0.0,0.0,0.015096809288645084
2016-01-05,259.53136522929225,0.7390975952148438,0.0,0.014492936917099282,111.96250915527344,192.87110711991903,0.0,0.0,0.3240941304646287,0.0,0.0,0.014492936917099282
2016-01-06,257.38985936903276,0.042438507080078125,0.0,0.013913219440415313,111.99221611022949,192.87110711991903,0.0,0.0,0.31113036524604354,0.0,0.0,0.013913219440415313
2016-01-07,259.99758681200734,0.0,0.0,0.0133566906627987,111.99221611022949,192.87110711991903,0.0,0.0,0.2986851506362018,0.0,0.0,0.0133566906627987
2016-01-08,259.0278679729289,0.0,0.0,0.01282242303628675,111.99221611022949,192.87110711991903,0.0,0.0,0.28673774461075374,0.0,0.0,0.01282242303628675
2016-01-09,257.59828423695984,0.335693359375,0.0,0.012309526114835281,112.22720146179199,192.87110711991903,0.0,0.0,0.27526823482632357,0.0,0.0,0.012309526114835281
2016-01-10,255.64956470210396,0.24700164794921875,0.0,0.01181714507024187,112.40010261535645,192.87110711991903,0.0,0.0,0.26425750543327065,0.0,0.0,0.01181714507024187
2016-01-11,253.49042442298347,0.02288818359375,0.0,0.011344459267432196,112.41612434387207,192.87110711991903,0.0,0.0,0.2536872052159398,0.0,0.0,0.011344459267432196
2016-01-12,257.06183193004296,0.0,0.0,0.010890680896734905,112.41612434387207,192.87110711991903,0.0,0.0,0.2435397170073022,0.0,0.0,0.010890680896734905
2016-01-13,257.921722043784,0.0,0.0,0.010455053660865509,112.41612434387207,192.87110711991903,0.0,0.0,0.2337981283270101,0.0,0.0,0.010455053660865509
2016-01-14,258.13505875489926,0.0,0.0,0.010036851514430888,112.41612434387207,192.87110711991903,0.0,0.0,0.22444620319392972,0.0,0.0,0.010036851514430888
2016-01-15,255.69918344783198,0.03147125244140625,0.0,0.009635377453853653,112.43815422058105,192.87110711991903,0.0,0.0,0.21546835506617254,0.0,0.0,0.009635377453853653
2016-01-16,255.89541121488284,0.024318695068359375,0.0,0.009249962355699507,112.4551773071289,192.87110711991903,0.0,0.0,0.20684962086352565,0.0,0.0,0.009249962355699507
2016-01-17,256.5945102167258,0.16498565673828125,0.0,0.008879963861471529,112.5706672668457,192.87110711991903,0.0,0.0,0.19857563602898462,0.0,0.0,0.008879963861471529
2016-01-18,256.4565742314858,3.082752227783203,0.0,0.008524765307012667,114.72859382629395,192.87110711991903,0.0,0.0,0.19063261058782524,0.0,0.0,0.008524765307012667
2016-01-19,254.63824651537288,0.21409988403320312,0.0,0.008183774694732162,114.87846374511719,192.87110711991903,0.0,0.0,0.18300730616431224,0.0,0.0,0.008183774694732162
