,T2,RRR,PE,Q_HBV,Qobs,Q_DDM,Q_Total
2011-05-14,272.2352354636345,0.18072128295898438,0.4516472576948184,0.0009403926924287874,0.0,0.13130389464137687,0.13224428733380567
2011-05-15,273.60052124040675,1.4257431030273438,0.6025877805944005,0.000990235862145696,0.0,3.2409132771212428,3.2419035129833884
2011-05-16,274.3929768618961,1.0972023010253906,0.6901984976452321,0.0015844300953835838,0.0,6.96806377096749,6.969648201062873
2011-05-17,273.0569591730919,8.112430572509766,0.54249373723386,0.0032036547848745493,0.0,1.415295352711506,1.4184990074963806
2011-05-18,272.04370722045707,1.1034011840820312,0.43047266284655833,0.0052864406897124155,0.0,0.04778190164006453,0.053068342329776946
2011-05-19,270.04174634122154,8.679389953613281,0.20914389265258695,0.006583147112899032,0.0,0.0,0.006583147112899032
2011-05-20,269.89778520538937,8.217334747314453,0.1932281265255141,0.006666573285576203,0.0,0.0,0.006666573285576203
2011-05-21,269.1153022726772,6.66046142578125,0.10671994997158804,0.006090469984026252,0.0,0.0,0.006090469984026252
2011-05-22,266.5228475288137,0.01049041748046875,0.0,0.005505858003042016,0.0,0.0,0.005505858003042016
2011-05-23,268.23490475094286,0.118255615234375,0.009386728933978773,0.005173354644605362,0.0,0.0,0.005173354644605362
2011-05-24,269.72997735189017,0.0,0.17467596287981374,0.005023865029894435,0.0,0.0,0.005023865029894435
2011-05-25,271.761426293491,0.6046295166015625,0.3992648150496182,0.004907651036850688,0.0,0.0028353427064186747,0.007742993743269363
2011-05-26,273.0918132871773,0.514984130859375,0.546347068378702,0.004747813578425706,0.0,1.508135698505487,1.5128835120839128
2011-05-27,271.77558975514756,1.4805793762207031,0.40083067059787003,0.004549838136343791,0.0,0.0034682712928940204,0.008018109429237811
2011-05-28,271.14403872879893,0.9737014770507812,0.33100892061948883,0.004347793369350554,0.0,0.0,0.004347793369350554
2011-05-29,272.5625318130703,0.2589225769042969,0.4878318301612166,0.004163080645136039,0.0,0.4442194447237197,0.44838252536885576
2011-05-30,273.7973346924622,0.9307861328125,0.6243466869510993,0.004099508477490478,0.0,4.067443564919964,4.0715430733974545
2011-05-31,274.16270689731493,2.7008056640625,0.66474077337001,0.004692162494506954,0.0,5.792738056257678,5.797430218752185
2011-06-01,272.8463244972645,4.456520080566406,0.5192068117776102,0.006517879038766583,0.7698247698247698,0.9294650279766241,0.9359829070153907
2011-06-02,273.07054478070825,2.574920654296875,0.5439957075556824,0.00891041452041165,1.7449361449361451,1.4596023659370954,1.468512780457507
2011-06-03,272.41973116607005,8.508682250976562,0.47204436302772634,0.01036894764586326,1.2573804573804577,0.27250450942100063,0.2828734570668639
2011-06-04,273.73229091899265,0.3943443298339844,0.6171557080762844,0.010694719890317709,1.2573804573804577,3.81386178790042,3.8245565077907377
2011-06-05,273.9578052622869,2.7403831481933594,0.6420876699243503,0.012358488175845624,1.2573804573804577,4.8743433906966604,4.886701878872506
2011-06-06,274.2095967618771,1.3456344604492188,0.6699247288437393,0.01985850875163401,1.2573804573804577,6.16725473666848,6.187113245420114
2011-06-07,273.2711519026321,5.063056945800781,0.5661740268465717,0.03628515845499364,0.7698247698247698,2.1363449351823123,2.1726300936373057
2011-06-08,273.26731743064795,3.4079551696777344,0.5657501029940158,0.05981060035968554,0.7698247698247698,2.146225197431273,2.2060357977909586
2011-06-09,273.2340658863903,4.476070404052734,0.5620739455456195,0.08532227833027249,1.2573804573804577,2.0387042925771284,2.1240265709074007
2011-06-10,273.1205889271567,4.505157470703125,0.5495283877912074,0.1077899579667489,1.2573804573804577,1.6920177014068667,1.7998076593736156
2011-06-11,274.9221824569789,0.3285408020019531,0.7487053469819513,0.12622602347374462,0.7698247698247698,10.226388266170678,10.352614289644423
2011-06-12,276.48457096585736,0.80108642578125,0.9214367578811076,0.15753834732082658,3.361568161568161,19.553280186154115,19.710818533474942
2011-06-13,275.86378319890144,3.421783447265625,0.8528049507179819,0.23922332642985758,14.908939708939707,16.311187699049412,16.55041102547927
2011-06-14,275.1214682891673,10.773658752441406,0.7707375897759209,0.4027056467460511,11.496049896049895,12.043273804420851,12.445979451166902
2011-06-15,273.8839166671007,5.667209625244141,0.6339188430139241,0.6395259904141527,6.3125631125631125,5.110823215916641,5.750349206330793
2011-06-16,274.09851392483273,7.808685302734375,0.6576438556420238,0.8949919122325876,7.56994356994357,6.265526379428501,7.160518291661089
2011-06-17,273.79700181463176,7.158756256103516,0.6243098853124668,1.1164633298991669,6.3125631125631125,4.648195194044567,5.7646585239437345
