Date,Qobs
2012-05-16,5.11
2012-05-17,5.43
2012-05-18,5.92
2012-05-19,5.75
2012-05-20,5.27
2012-05-21,5.11
2012-05-22,4.82
2012-05-23,4.82
2012-05-24,5.11
2012-05-25,5.27
2012-05-26,5.75
2012-05-27,6.78
2012-05-28,7.68
2012-05-29,7.5
2012-05-30,7.32
2012-05-31,6.78
2012-06-01,6.78
2012-06-02,5.92
2012-06-03,5.75
2012-06-04,5.59
2012-06-05,5.59
2012-06-06,6.54
2012-06-07,7.48
2012-06-08,8.43
2012-06-09,9.37
2012-06-10,10.3
2012-06-11,11.3
2012-06-12,12.2
2012-06-13,13.2
2012-06-14,14.1
2012-06-15,13.0
2012-06-16,14.6
2012-06-17,14.1
2012-06-18,14.6
2012-06-19,16.9
2012-06-20,18.2
2012-06-21,20.5
2012-06-22,23.0
2012-06-23,23.0
2012-06-24,22.1
2012-06-25,19.0
2012-06-26,17.5
2012-06-27,20.5
2012-06-28,21.2
2012-06-29,20.5
2012-06-30,20.5
2012-07-01,20.5
2012-07-02,21.2
2012-07-03,22.1
2012-07-04,22.1
2012-07-05,23.0
2012-07-06,19.0
2012-07-07,18.2
2012-07-08,18.2
2012-07-09,18.2
2012-07-10,19.0
2012-07-11,19.7
2012-07-12,16.9
2012-07-13,14.6
2012-07-14,14.6
2012-07-15,15.8
2012-07-16,15.2
2012-07-17,15.2
2012-07-18,14.6
2012-07-19,14.6
2012-07-20,14.6
2012-07-21,14.6
2012-07-22,14.6
2012-07-23,15.8
2012-07-24,16.3
2012-07-25,20.5
2012-07-26,21.2
2012-07-27,22.1
2012-07-28,19.0
2012-07-29,19.0
2012-07-30,19.7
2012-07-31,19.7
2012-08-01,19.7
2012-08-02,18.2
2012-08-03,16.9
2012-08-04,16.3
2012-08-05,16.9
2012-08-06,17.5
2012-08-07,17.5
2012-08-08,22.1
2012-08-09,19.0
2012-08-10,18.2
2012-08-11,16.3
2012-08-12,17.5
2012-08-13,19.0
2012-08-14,21.2
2012-08-15,19.7
2012-08-16,19.7
2012-08-17,18.2
2012-08-18,19.7
2012-08-19,19.7
2012-08-20,21.2
2012-08-21,21.2
2012-08-22,23.0
2012-08-23,22.1
2012-08-24,20.5
2012-08-25,23.8
2012-08-26,19.7
2012-08-27,18.2
2012-08-28,16.3
2012-08-29,16.9
2012-08-30,16.3
2012-08-31,16.9
2012-09-01,16.3
2012-09-02,16.3
2012-09-03,16.3
2012-09-04,16.3
2012-09-05,14.6
2012-09-06,14.1
2012-09-07,13.0
2012-09-08,14.1
2012-09-09,14.1
2012-09-10,11.6
2012-09-11,11.6
2012-09-12,12.5
2012-09-13,13.0
2012-09-14,11.1
2012-09-15,11.1
2012-09-16,9.8
2012-09-17,9.8
2012-09-18,9.46
2012-09-19,9.8
2012-09-20,9.12
2012-09-21,9.8
2012-09-22,9.46
2012-09-23,9.12
2012-09-24,8.78
2012-09-25,8.44
2012-09-26,8.1
2012-09-27,8.1
2012-09-28,7.79
2012-09-29,7.48
2012-09-30,7.48
2012-10-01,6.86
2012-10-02,6.28
2012-10-03,6.01
2012-10-04,5.02
2012-10-05,5.02
2012-10-06,5.47
2012-10-07,5.47
2012-10-08,5.74
2012-10-09,6.28
2012-10-10,6.01
2012-10-11,5.74
2012-10-12,5.47
2012-10-13,5.74
2012-10-14,5.74
2012-10-15,6.01
2012-10-16,6.01
2012-10-17,5.74
2012-10-18,5.47
2012-10-19,5.47
2012-10-20,5.47
2012-10-21,5.47
2012-10-22,5.47
2012-10-23,5.47
2012-10-24,5.47
2012-10-25,5.2
2012-10-26,5.2
2012-10-27,5.2
2012-10-28,5.2
2012-10-29,5.2
2012-10-30,5.2
2012-10-31,4.94
2012-11-01,4.68
2012-11-02,4.42
2012-11-03,4.17
2012-11-04,3.91
2012-11-05,3.65
2012-11-06,3.39
2012-11-07,3.65
2012-11-08,3.39
2012-11-09,3.39
2012-11-10,3.26
2012-11-11,3.26
2012-11-12,3.39
2012-11-13,3.26
2012-11-14,3.26
2012-11-15,3.52
2012-11-16,3.52
2012-11-17,3.39
2012-11-18,3.26
2012-11-19,3.26
2012-11-20,3.39
2012-11-21,3.39
2012-11-22,3.65
2012-11-23,3.39
2012-11-24,2.88
2012-11-25,3.0
2012-11-26,3.52
2012-11-27,3.78
2012-11-28,3.0
2012-11-29,2.88
2012-11-30,2.76
2012-12-01,2.64
2012-12-02,2.76
2012-12-03,2.64
2012-12-04,2.64
2012-12-05,3.13
2012-12-06,3.0
2012-12-07,3.0
2012-12-08,2.88
2012-12-09,2.88
2012-12-10,2.88
2012-12-11,2.88
2012-12-12,2.88
2012-12-13,2.88
2012-12-14,2.88
2012-12-15,2.88
2012-12-16,2.88
2012-12-17,2.88
2012-12-18,2.88
2012-12-19,3.0
2012-12-20,3.0
2012-12-21,3.0
2012-12-22,3.0
2012-12-23,3.0
2012-12-24,3.0
2012-12-25,3.0
2012-12-26,3.0
2012-12-27,2.52
2012-12-28,2.4
2012-12-29,2.52
2012-12-30,2.52
2012-12-31,2.64
2013-01-01,2.76
2013-01-02,2.64
2013-01-03,2.52
2013-01-04,2.52
2013-01-05,2.4
2013-01-06,2.28
2013-01-07,2.4
2013-01-08,2.4
2013-01-09,2.64
2013-01-10,2.64
2013-01-11,2.7
2013-01-12,2.77
2013-01-13,2.83
2013-01-14,2.6
2013-01-15,2.83
2013-01-16,2.6
2013-01-17,2.5
2013-01-18,2.4
2013-01-19,2.4
2013-01-20,2.5
2013-01-21,2.5
2013-01-22,2.4
2013-01-23,2.3
2013-01-24,2.3
2013-01-25,2.3
2013-01-26,2.3
2013-01-27,2.5
2013-01-28,2.83
2013-01-29,3.05
2013-01-30,3.05
2013-01-31,3.05
2013-02-01,3.05
2013-02-02,3.05
2013-02-03,3.05
2013-02-04,3.05
2013-02-05,3.05
2013-02-06,3.05
2013-02-07,3.05
2013-02-08,3.33
2013-02-09,3.33
2013-02-10,3.05
2013-02-11,3.05
2013-02-12,3.02
2013-02-13,3.0
2013-02-14,2.97
2013-02-15,2.94
2013-02-16,2.91
2013-02-17,2.89
2013-02-18,2.86
2013-02-19,2.83
2013-02-20,2.6
2013-02-21,3.05
2013-02-22,2.83
2013-02-23,2.83
2013-02-24,2.83
2013-02-25,2.83
2013-02-26,2.83
2013-02-27,3.05
2013-02-28,2.83
2013-03-01,2.83
2013-03-02,3.05
2013-03-03,3.05
2013-03-04,3.05
2013-03-05,3.33
2013-03-06,3.33
2013-03-07,3.33
2013-03-08,3.05
2013-03-09,3.05
2013-03-10,3.05
2013-03-11,3.05
2013-03-12,3.05
2013-03-13,3.05
2013-03-14,3.05
2013-03-15,3.05
2013-03-16,3.33
2013-03-17,3.33
2013-03-18,3.6
2013-03-19,3.33
2013-03-20,3.33
2013-03-21,3.33
2013-03-22,3.6
2013-03-23,3.6
2013-03-24,3.6
2013-03-25,3.6
2013-03-26,3.6
2013-03-27,3.6
2013-03-28,3.33
2013-03-29,3.88
2013-03-30,4.15
2013-03-31,4.02
2013-04-01,3.9
2013-04-02,3.77
2013-04-03,3.64
2013-04-04,3.52
2013-04-05,3.39
2013-04-06,3.27
2013-04-07,3.14
2013-04-08,3.01
2013-04-09,2.89
2013-04-10,2.76
2013-04-11,2.76
2013-04-12,2.76
2013-04-13,2.76
2013-04-14,2.92
2013-04-15,2.92
2013-04-16,3.08
2013-04-17,2.92
2013-04-18,2.92
2013-04-19,2.76
2013-04-20,2.76
2013-04-21,2.6
2013-04-22,2.6
2013-04-23,2.92
2013-04-24,2.92
2013-04-25,2.92
2013-04-26,2.92
2013-04-27,2.92
2013-04-28,3.08
2013-04-29,3.08
2013-04-30,2.92
2013-05-01,3.24
2013-05-02,3.24
2013-05-03,3.08
2013-05-04,3.58
2013-05-05,3.08
2013-05-06,3.24
2013-05-07,3.76
2013-05-08,4.12
2013-05-09,4.3
2013-05-10,4.66
2013-05-11,5.39
2013-05-12,4.84
2013-05-13,4.84
2013-05-14,4.84
2013-05-15,5.02
2013-05-16,5.02
2013-05-17,5.39
2013-05-18,5.96
2013-05-19,6.75
2013-05-20,6.15
2013-05-21,6.35
2013-05-22,5.2
2013-05-23,5.58
2013-05-24,5.58
2013-05-25,5.58
2013-05-26,5.39
2013-05-27,4.84
2013-05-28,4.84
2013-05-29,5.02
2013-05-30,5.96
2013-05-31,7.15
2013-06-01,9.55
2013-06-02,8.85
2013-06-03,8.85
2013-06-04,8.51
2013-06-05,8.51
2013-06-06,8.85
2013-06-07,8.17
2013-06-08,8.51
2013-06-09,10.6
2013-06-10,13.0
2013-06-11,12.5
2013-06-12,12.5
2013-06-13,11.1
2013-06-14,8.51
2013-06-15,7.83
2013-06-16,7.83
2013-06-17,7.49
2013-06-18,7.49
2013-06-19,6.75
2013-06-20,6.95
2013-06-21,7.83
2013-06-22,9.9
