,Qobs,DDM_total_melt,DDM_smb,Q_Total,Q_COSIPY,COSIPY_smb,COSIPY_melt
2011-06-03,1.2573804573804577,0.0,8.461,0.132,7.813685189487218,-0.10653880410947147,7.826632061219871
2011-06-04,1.2573804573804577,1.977,-1.727,2.108,8.935327333184375,-7.0376552528028675,7.736381627832573
2011-06-05,1.2573804573804577,1.857,0.201,1.987,7.810979554971235,-8.116253398800836,10.296373170433439
2011-06-06,1.2573804573804577,3.021,-2.557,3.182,11.472879770715743,-10.766046540195525,11.962448033861683
2011-06-07,0.7698247698247698,0.0,5.063,0.259,10.462349998679208,-4.240766112312926,8.585015053765146
2011-06-08,0.7698247698247698,0.026,3.365,0.441,12.272392721094871,-8.200258524225497,10.699498344807287
2011-06-09,1.2573804573804577,0.0,4.489,0.578,9.971813960728145,-8.720449217274076,12.334284002140818
2011-06-10,1.2573804573804577,0.0,4.602,0.699,13.887536551409825,-9.69564165156987,12.480913263177774
2011-06-11,0.7698247698247698,5.291,-5.278,6.063000000000001,14.502194034941953,-14.691843809037243,15.217560637141204
2011-06-12,3.361568161568161,9.138,-9.138,10.015,14.569256414597772,-16.745721936622694,17.01094726822101
2011-06-13,14.908939708939707,7.384,-7.384,8.533000000000001,15.435677717086502,-15.500275594094804,17.048557350225103
2011-06-14,11.496049896049895,4.973,-3.761,6.615,17.276643957171345,-12.469991372836194,16.239029332048194
2011-06-15,6.3125631125631125,1.831,1.908,4.09,16.20222411733839,-8.507041948373407,12.390776429158539
2011-06-16,7.56994356994357,2.391,2.086,5.214,19.0216510405,-13.504478588509714,16.814058865887464
2011-06-17,6.3125631125631125,1.652,3.394,4.873,26.66296331015693,-14.921968457731975,18.56002852886857
2011-06-18,6.928422928422928,1.355,6.586,4.839,10.34237297345511,-2.699159158780338,10.561897000963489
2011-06-19,6.3125631125631125,0.935,7.363,4.649,18.243587609018654,-6.729532381119214,13.233908287926027
2011-06-20,6.3125631125631125,0.682,3.905,4.643,23.38424169119377,-17.33791540849133,20.002247101289303
2011-06-21,5.696703296703298,3.28,-2.777,7.470000000000001,17.29677241667709,-15.775245201324724,16.541260339343523
2011-06-22,5.696703296703298,4.09,-3.74,8.44,18.88002848183415,-19.081170254074227,19.59783168605995
2011-06-23,5.696703296703298,0.935,0.243,5.375,17.88083543943757,-17.34566131296195,17.901770031369274
2011-06-24,7.56994356994357,3.903,-3.544,8.387,19.502286562296355,-17.918130885773024,18.452704227295115
2011-06-25,10.161686961686963,10.499,-10.499,15.045000000000002,18.28460804980781,-17.371714878694043,17.850238367906705
2011-06-26,11.496049896049895,9.516,-9.516,14.279,18.950947477845446,-19.164144775115926,19.420371570478146
2011-06-27,5.696703296703298,1.977,2.652,7.176,18.937488944677554,-9.982442681122887,13.75734412824391
2011-06-28,8.211464211464211,4.065,-3.818,9.767,18.071033890264445,-14.656564136389338,15.640065708008521
